指标类别,项目,"计量
单位",集团全口径,,,主城区,,,北海汇总,,,香海,,,金州,,,北方,,,金普,,,庄河,,,研究院,,
主要物料消耗量,其中：1.非生产厂用电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要物料消耗量,2.生产厂用电量↓,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要物料消耗量,2.1发电厂用电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要物料消耗量,2.2供热厂用电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要物料消耗量,外购电量↓,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要物料消耗量,其中：1.电厂外购电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要物料消耗量,2.燃煤锅炉房外购电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要物料消耗量,3.换热站外购电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要物料消耗量,4.电锅炉/热泵外购电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要物料消耗量,脱硫脱销耗水量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要物料消耗量,脱硫脱硝耗电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
比率,生产产出率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,
比率,综合产出率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,
比率,全厂热效率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,
比率,热电比,%,,,,,,,,,,,,,,,,,,,,,,,,,,,
比率,热分摊比,%,,,,,,,,,,,,,,,,,,,,,,,,,,,
比率,发电设备利用率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,
比率,供热设备利用率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,
单耗,综合厂用电率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,
单耗,发电厂用电率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,
单耗,供热厂用电率,kWh/GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
单耗,发电标准煤耗率,g/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
单耗,供电标准煤耗率,g/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
单耗,供热标准煤耗率,kg/GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
单耗,发电水耗率,吨/万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
单耗,供热水耗率,吨/GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
单耗,供暖热耗率,GJ/㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,
单耗,供暖水耗率,kg/㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,
单耗,供暖电耗率,kWh/㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,
其它,入炉煤低位发热量,kJ/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,供热发电收入,万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,暖收入,万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,暖单价,元/㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,电收入,万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,电单价,元/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,售汽收入,万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,汽平均单价,元/吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,售高温水收入,万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,高温水平均单价,元/GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,购热成本,万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,热单价,元/GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,煤成本,万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,标煤单价,元/吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,购电成本,万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,购电单价,元/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,水成本,万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,水单价,元/吨,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,劳务费,万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,抢修费,万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
经济指标,毛利,万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
